player_name,player_id,team_id,match_id,innings,overs,maidens,runs,wickets,economy,wides,no_ball
Rashid Khan,10,1,39,2,10.0,0,44,2,4.4,3,0
Noor Ahmad,15,1,39,2,10.0,1,53,0,5.3,1,0
Mohammad Nabi,8,1,39,2,2.0,0,20,0,10.0,0,0
Aryan Dutt,93,6,40,1,10.0,0,67,2,6.7,1,1
Logan van Beek,95,6,40,1,10.0,0,88,2,8.8,10,0
Paul van Meekeren,96,6,40,1,10.0,0,57,1,5.7,5,0
Bas de Leede,88,6,40,1,10.0,0,74,3,7.4,0,0
Roelof van der Merwe,92,6,40,1,3.0,0,22,0,7.33,0,0
Colin Ackermann,87,6,40,1,7.0,0,31,0,4.42,0,0
Chris Woakes,60,4,40,2,7.0,0,19,1,2.71,2,0
David Willey,59,4,40,2,7.0,2,19,2,2.71,0,0
Gus Atkinson,61,4,40,2,7.0,0,41,0,5.85,1,0
Moeen Ali,54,4,40,2,8.2,0,42,3,5.04,0,0
Adil Rashid,62,4,40,2,8.0,0,54,3,6.75,1,0
Trent Boult,108,7,41,1,10.0,3,37,3,3.7,3,0
Tim Southee,112,7,41,1,8.0,0,52,1,6.5,0,0
Lockie Ferguson,109,7,41,1,10.0,2,35,2,3.5,0,0
Mitchell Santner,107,7,41,1,10.0,2,22,2,2.2,0,0
Rachin Ravindra,106,7,41,1,7.4,0,21,2,2.73,0,0
Glenn Phillips,105,7,41,1,1.0,0,3,0,3.0,0,0
Dilshan Madushanka,158,10,41,2,6.2,0,58,0,9.15,1,0
Maheesh Theekshana,160,10,41,2,7.0,0,43,1,6.14,0,0
Dhananjaya de Silva,152,10,41,2,2.0,0,22,0,11.0,0,0
Dushmantha Chameera,157,10,41,2,4.0,1,20,1,5.0,0,0
Angelo Mathews,155,10,41,2,4.0,0,29,2,7.25,1,0
Kagiso Rabada,141,9,42,1,10.0,0,40,0,4.0,0,0
Lungi Ngidi,140,9,42,1,8.3,0,69,2,8.11,6,0
Aiden Markram,133,9,42,1,4.3,0,25,0,5.55,0,0
Gerald Coetzee,138,9,42,1,10.0,1,44,4,4.4,2,0
Keshav Maharaj,139,9,42,1,10.0,1,25,2,2.5,2,0
Andile Phehlukwayo,137,9,42,1,7.0,0,36,1,5.14,0,0
Mujeeb Ur Rahman,13,1,42,2,10.0,0,51,1,5.1,1,0
Naveen-ul-Haq,14,1,42,2,6.3,0,52,0,8.0,1,0
Mohammad Nabi,8,1,42,2,10.0,1,35,2,3.5,0,0
