player_name,player_id,team_id,match_id,runs,balls_faced,fours,sixes,strike_rate,dnb,is_out,dismissal_type
Shakib Al Hasan,41,3,11,40,51,3,2,78.43,0,1,c †Latham b Ferguson
Mushfiqur Rahim,35,3,11,66,75,6,2,88.00,0,1, b Henry
Towhid Hridoy,37,3,11,13,25,0,0,52.00,0,1,c Santner b Boult
Mahmudullah,39,3,11,41,49,2,2,83.67,0,0,
Taskin Ahmed,47,3,11,17,19,0,2,89.47,0,1,c Mitchell b Santner
Mustafizur Rahman,43,3,11,4,10,0,0,40.00,0,1,c †Latham b Henry
Shoriful Islam,45,3,11,2,3,0,0,66.66,0,0,
Devon Conway,100,7,11,45,59,3,0,76.27,0,1,lbw b Shakib Al Hasan
Rachin Ravindra,106,7,11,9,13,2,0,69.23,0,1,c †Mushfiqur Rahim b Mustafizur Rahman
Kane Williamson,98,7,11,78,107,8,1,72.89,0,0,
Daryl Mitchell,103,7,11,89,67,6,4,132.83,0,0,
Glenn Phillips,105,7,11,16,11,1,1,145.45,0,0,
Kane Williamson,98,7,11,0,0,0,0,0,1,0,
Tom Latham,99,7,11,0,0,0,0,0,1,0,
Mark Chapman,102,7,11,0,0,0,0,0,1,0,
Mitchell Santner,107,7,11,0,0,0,0,0,1,0,
Matt Henry,113,7,11,0,0,0,0,0,1,0,
Lockie Ferguson,109,7,11,0,0,0,0,0,1,0,
Trent Boult,108,7,11,0,0,0,0,0,1,0,
Abdullah Shafique,115,8,12,20,24,3,0,83.33,0,1,lbw b Mohammed Siraj
Imam-ul-Haq,118,8,12,36,38,6,0,94.73,0,1,c †Rahul b Pandya
Babar Azam,114,8,12,50,58,7,0,86.20,0,1, b Mohammed Siraj
Mohammad Rizwan,119,8,12,49,69,7,0,71.01,0,1, b Bumrah
Saud Shakeel,120,8,12,6,10,0,0,60.00,0,1,lbw b Kuldeep Yadav
Iftikhar Ahmed,117,8,12,4,4,1,0,100.00,0,1, b Kuldeep Yadav
Shadab Khan,124,8,12,2,5,0,0,40.00,0,1, b Bumrah
Mohammad Nawaz,122,8,12,4,14,0,0,28.57,0,1,c Bumrah b Pandya
Hasan Ali,126,8,12,12,19,2,0,63.15,0,1,c Shubman Gill b Jadeja
Shaheen Shah Afridi,127,8,12,2,10,0,0,20.00,0,0,
Haris Rauf,125,8,12,2,6,0,0,33.33,0,1,lbw b Jadeja
Rohit Sharma,65,5,12,86,63,6,6,136.50,0,1,c Iftikhar Ahmed b Shaheen Shah Afridi
Shubman Gill,70,5,12,16,11,4,0,145.45,0,1,c Shadab Khan b Shaheen Shah Afridi
Virat Kohli,68,5,12,16,18,3,0,88.88,0,1,c Mohammad Nawaz b Hasan Ali
Shreyas Iyer,67,5,12,53,62,3,2,85.48,0,0,
KL Rahul,69,5,12,19,29,2,0,65.51,0,0,
Rohit Sharma,65,5,12,0,0,0,0,0,1,0,
KL Rahul,69,5,12,0,0,0,0,0,1,0,
Hardik Pandya,74,5,12,0,0,0,0,0,1,0,
Ravindra Jadeja,73,5,12,0,0,0,0,0,1,0,
Shardul Thakur,81,5,12,0,0,0,0,0,1,0,
Jasprit Bumrah,76,5,12,0,0,0,0,0,1,0,
Kuldeep Yadav,77,5,12,0,0,0,0,0,1,0,
Mohammed Siraj,79,5,12,0,0,0,0,0,1,0,
Rahmanullah Gurbaz,5,1,13,80,57,8,4,140.35,0,1,run out (sub [DJ Willey]/†Buttler)
Ibrahim Zadran,2,1,13,28,48,3,0,58.33,0,1,c Root b Rashid
Rahmat Shah,9,1,13,3,8,0,0,37.50,0,1,st †Buttler b Rashid
Hashmatullah Shahidi,1,1,13,14,36,0,0,38.88,0,1, b Root
Azmatullah Omarzai,7,1,13,19,24,1,1,79.16,0,1,c Woakes b Livingstone
Ikram Alikhil,3,1,13,58,66,3,2,87.87,0,1,c Curran b Topley
Mohammad Nabi,8,1,13,9,15,1,0,60.00,0,1,c Root b Wood
Rashid Khan,10,1,13,23,22,3,0,104.54,0,1,c Root b Rashid
Mujeeb Ur Rahman,13,1,13,28,16,3,1,175.00,0,1,c Root b Wood
Naveen-ul-Haq,14,1,13,5,6,1,0,83.33,0,1,run out (†Buttler)
Fazalhaq Farooqi,12,1,13,2,4,0,0,50.00,0,0,
Jonny Bairstow,49,4,13,2,4,0,0,50.00,0,1,lbw b Fazalhaq Farooqi
Dawid Malan,51,4,13,32,39,4,0,82.05,0,1,c Ibrahim Zadran b Mohammad Nabi
Joe Root,52,4,13,11,17,2,0,64.70,0,1, b Mujeeb Ur Rahman
Harry Brook,50,4,13,66,61,7,1,108.19,0,1,c †Ikram Alikhil b Mujeeb Ur Rahman
Jos Buttler,48,4,13,9,18,1,0,50.00,0,1, b Naveen-ul-Haq
Liam Livingstone,57,4,13,10,14,1,0,71.42,0,1,lbw b Rashid Khan
Sam Curran,56,4,13,10,23,0,0,43.47,0,1,c Rahmat Shah b Mohammad Nabi
Chris Woakes,60,4,13,9,26,1,0,34.61,0,1, b Mujeeb Ur Rahman
Adil Rashid,62,4,13,20,13,2,0,153.84,0,1,c Mohammad Nabi b Rashid Khan
Mark Wood,63,4,13,18,22,3,0,81.81,0,1, b Rashid Khan
Reece Topley,64,4,13,15,7,3,0,214.28,0,0,
Pathum Nissanka,148,10,14,61,67,8,0,91.04,0,1,c Warner b Cummins
Kusal Perera,149,10,14,78,82,12,0,95.12,0,1, b Cummins
Kusal Mendis,146,10,14,9,13,0,0,69.23,0,1,c Warner b Zampa
Sadeera Samarawickrama,150,10,14,8,8,1,0,100.00,0,1,lbw b Zampa
Charith Asalanka,151,10,14,25,39,0,1,64.10,0,1,c Labuschagne b Maxwell
Dhananjaya de Silva,152,10,14,7,13,1,0,53.84,0,1, b Starc
